timestamp_ms,label,ax_raw,ay_raw,az_raw,gx_raw,gy_raw,gz_raw,gx_dps,gy_dps,gz_dps
23190,99,-6784,3684,14052,367,650,-149,2.8,4.96,-1.14
23202,99,-6852,3676,14156,321,515,-143,2.45,3.93,-1.09
23214,99,-6892,3632,14292,323,668,-242,2.46,5.1,-1.85
23226,99,-7048,3628,14200,373,556,-202,2.85,4.24,-1.54
23238,99,-6920,3348,14060,225,711,-327,1.72,5.42,-2.49
23250,99,-7012,3840,14080,542,524,-170,4.14,4,-1.3
23262,99,-6852,3672,13972,339,454,-256,2.59,3.46,-1.95
23295,99,-6716,3616,13820,210,460,-642,1.6,3.51,-4.9
23307,99,-6704,3776,14016,59,784,-910,0.45,5.98,-6.94
23319,99,-6660,3692,14280,177,-36,-962,1.35,-0.27,-7.34
23331,99,-7124,3616,13944,176,382,-878,1.34,2.91,-6.7
23343,99,-7184,3660,14024,146,470,-775,1.11,3.59,-5.91
23355,99,-7224,3668,14076,103,511,-646,0.79,3.9,-4.93
23367,99,-7304,3576,14072,177,823,-480,1.35,6.28,-3.66
23379,99,-7356,3568,14000,123,750,-232,0.94,5.72,-1.77
23391,99,-7172,3568,13940,147,749,-163,1.12,5.71,-1.24
23424,99,-7324,3452,13748,162,398,-106,1.24,3.04,-0.81
23436,99,-7264,3532,13832,24,359,-16,0.18,2.74,-0.12
23448,99,-7264,3588,13940,-31,331,30,-0.24,2.53,0.23
23460,99,-7148,3576,13904,-51,300,101,-0.39,2.29,0.77
23472,99,-7124,3572,13908,3,313,141,0.02,2.39,1.08
23484,99,-7096,3568,14136,-15,191,165,-0.11,1.46,1.26
23496,99,-7028,3520,13936,-61,240,85,-0.47,1.83,0.65
23508,99,-6992,3584,14128,-58,166,138,-0.44,1.27,1.05
23520,99,-6892,3600,14152,-29,315,66,-0.22,2.4,0.5
23553,99,-6872,3332,13920,152,248,-58,1.16,1.89,-0.44
23565,99,-6868,3500,14112,160,336,-64,1.22,2.56,-0.49
23577,99,-6956,3416,14240,158,373,-126,1.21,2.85,-0.96
23589,99,-6980,3424,14144,194,403,-108,1.48,3.07,-0.82
23601,99,-6924,3432,14144,282,471,-178,2.15,3.59,-1.36
23613,99,-6956,3428,14100,303,379,-153,2.31,2.89,-1.17
23625,99,-7004,3448,14156,330,406,-161,2.52,3.1,-1.23
23637,99,-6968,3500,14028,340,500,-153,2.59,3.81,-1.17
23649,99,-7008,3428,14108,315,542,-164,2.4,4.14,-1.25
23682,99,-7208,3348,13812,379,423,-246,2.89,3.23,-1.88
23694,99,-7172,3468,13984,324,441,-148,2.47,3.36,-1.13
23706,99,-7260,3456,14156,366,413,-151,2.79,3.15,-1.15
23718,99,-7236,3364,14076,436,466,-61,3.33,3.56,-0.47
23730,99,-7284,3396,13888,355,408,-72,2.71,3.11,-0.55
23742,99,-7196,3464,13960,330,303,-24,2.52,2.31,-0.18
23754,99,-7272,3460,13920,287,287,32,2.19,2.19,0.24
23766,99,-7276,3548,13952,258,221,98,1.97,1.69,0.75
23778,99,-7224,3384,14160,284,202,96,2.17,1.54,0.73
23811,99,-7188,3244,13784,247,16,140,1.88,0.12,1.07
23823,99,-7096,3412,13928,189,22,213,1.44,0.17,1.63
23835,99,-7120,3396,14216,308,53,224,2.35,0.4,1.71
23847,99,-7032,3420,14008,293,110,210,2.24,0.84,1.6
23859,99,-7020,3540,14040,217,191,150,1.66,1.46,1.14
23871,99,-6968,3480,14132,262,170,155,2,1.3,1.18
23883,99,-6916,3452,14140,220,197,53,1.68,1.5,0.4
23895,99,-6976,3536,14072,310,141,77,2.37,1.08,0.59
23907,99,-7016,3476,14108,316,238,58,2.41,1.82,0.44
23940,99,-6948,3372,13816,279,285,-31,2.13,2.17,-0.24
23952,99,-6796,3436,14040,287,298,-21,2.19,2.27,-0.16
23964,99,-7044,3472,14180,277,270,-37,2.11,2.06,-0.28
